id,name,party,sector ,country
uvdl,Ursula von der Leyen,CDU,Politik,Deutschland
lk,Lars Klingbeil,SPD,Politik ,Deutschland
nr,Norbert Röttgen,CDU,Politik ,Deutschland
sw,Sahra Wagenknecht,Linke,Politik,Deutschland
cs,Constanze Stelzenmüller,,Recht,USA
cl,Christian Lindner,FDP,Politik,Deutschland
ks,Karl Schlögel,,Geschichte ,Ost-Europa
lm,Ljudmyla Melnyk,,Wissenschaft,Ukraine
kd,Kristina Dunz,,Journalismus,Deutschland
el,Egils Levits,,Politik,Lettland
ab,Annalena Baerbock,Grüne,Politik,Deutschland
ft,Frans Timmermans,,Politik,Niederlande
am,Andrij Melnyk,,Politik,Ukraine
agl,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,,Bundeswehr ,Deutschland
rh,Robert Habeck,Grüne,Politik,Deutschland
cm,Claudia Major,,Wissenschaft,Deutschland
kp,Katja Petrowskaja,,Journalismus,Ukraine
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
,,,,
cdu,CDU,,,
spd,SPD,,,
fdp,FDP,,,
grüne,GRÜNE,,,
linke,LINKE,,,
500,500,,,
501,501,,,
502,502,,,
503,503,,,